Date,Open
2021-06-14,2513.389893
2021-06-15,2530.439941
2021-06-16,2524.949951
2021-06-17,2510.459961
2021-06-18,2514.110107
2021-06-21,2514.800049
2021-06-22,2529.0
2021-06-23,2531.0
2021-06-24,2541.070068
2021-06-25,2539.139893
2021-06-28,2540.0
2021-06-29,2535.449951
2021-06-30,2513.071045
2021-07-01,2496.995117
2021-07-02,2536.790039
2021-07-06,2588.98999
2021-07-07,2606.820068
2021-07-08,2565.0
2021-07-09,2578.889893
2021-07-12,2596.669922
2021-07-13,2617.629883
2021-07-14,2638.030029
2021-07-15,2650.0
2021-07-16,2632.820068
2021-07-19,2623.110107
2021-07-20,2600.080078
2021-07-21,2615.73999
2021-07-22,2653.0
2021-07-23,2705.199951
2021-07-26,2765.0
2021-07-27,2800.219971
2021-07-28,2771.23999
2021-07-29,2727.612061
2021-07-30,2710.219971
2021-08-02,2709.689941
2021-08-03,2720.0
2021-08-04,2724.98999
2021-08-05,2720.570068
2021-08-06,2725.899902
2021-08-09,2738.97998
2021-08-10,2761.590088
2021-08-11,2765.659912
2021-08-12,2754.26001
2021-08-13,2767.149902
2021-08-16,2760.0
2021-08-17,2763.820068
2021-08-18,2742.310059
2021-08-19,2709.350098
2021-08-20,2741.659912
2021-08-23,2779.969971
2021-08-24,2830.870117
2021-08-25,2857.659912
2021-08-26,2852.370117
2021-08-27,2842.25
2021-08-30,2894.090088
2021-08-31,2917.689941
2021-09-01,2913.0
2021-09-02,2918.98999
2021-09-03,2882.919922
2021-09-07,2894.98999
2021-09-08,2907.870117
2021-09-09,2897.669922
2021-09-10,2908.870117
2021-09-13,2864.02002
2021-09-14,2883.219971
2021-09-15,2875.179932
2021-09-16,2902.419922
2021-09-17,2875.969971
2021-09-20,2780.003906
2021-09-21,2802.340088
2021-09-22,2801.01001
2021-09-23,2832.189941
2021-09-24,2818.919922
2021-09-27,2831.709961
2021-09-28,2781.77002
2021-09-29,2742.194092
2021-09-30,2686.5
2021-10-01,2671.090088
2021-10-04,2713.98999
2021-10-05,2680.0
2021-10-06,2692.51001
2021-10-07,2777.26001
2021-10-08,2798.120117
2021-10-11,2796.0
2021-10-12,2792.75
2021-10-13,2755.0
2021-10-14,2799.040039
2021-10-15,2844.0
2021-10-18,2824.27002
2021-10-19,2865.830078
2021-10-20,2884.449951
2021-10-21,2843.840088
2021-10-22,2807.02002
2021-10-25,2776.209961
2021-10-26,2812.120117
2021-10-27,2798.050049
2021-10-28,2945.97998
2021-10-29,2910.399902
2021-11-01,2963.300049
2021-11-02,2896.187988
2021-11-03,2925.5
2021-11-04,2944.0
2021-11-05,2987.070068
2021-11-08,3000.0
2021-11-09,2994.919922
2021-11-10,2960.195068
2021-11-11,2942.139893
2021-11-12,2956.629883
2021-11-15,3000.0
2021-11-16,2983.409912
2021-11-17,2984.580078
2021-11-18,2982.919922
2021-11-19,3020.0
2021-11-22,3002.834961
2021-11-23,2942.26001
2021-11-24,2927.0
2021-11-26,2900.310059
2021-11-29,2885.969971
2021-11-30,2909.004883
2021-12-01,2884.25
2021-12-02,2836.47998
2021-12-03,2889.909912
2021-12-06,2871.47998
2021-12-07,2919.0
2021-12-08,2966.629883
2021-12-09,2963.52002
2021-12-10,2982.0
2021-12-13,2968.879883
2021-12-14,2895.399902
2021-12-15,2887.320068
2021-12-16,2961.540039
2021-12-17,2854.290039
2021-12-20,2813.592041
2021-12-21,2863.0
2021-12-22,2882.0
2021-12-23,2941.790039
2021-12-27,2949.27002
2021-12-28,2967.48999
2021-12-29,2928.590088
2021-12-30,2929.0
2021-12-31,2910.879883
2022-01-03,2889.51001
2022-01-04,2911.01001
2022-01-05,2883.620117
2022-01-06,2749.949951
2022-01-07,2758.100098
2022-01-10,2701.97998
2022-01-11,2763.610107
2022-01-12,2831.090088
2022-01-13,2836.810059
2022-01-14,2750.0
2022-01-18,2732.0
2022-01-19,2738.77002
2022-01-20,2730.280029
2022-01-21,2660.23999
2022-01-24,2520.550049
2022-01-25,2568.709961
2022-01-26,2611.850098
2022-01-27,2627.219971
2022-01-28,2600.0
2022-01-31,2683.959961
2022-02-01,2756.699951
2022-02-02,3037.27002
2022-02-03,2905.899902
2022-02-04,2860.340088
2022-02-07,2874.179932
2022-02-08,2779.824951
2022-02-09,2816.995117
2022-02-10,2790.0
2022-02-11,2775.0
2022-02-14,2667.310059
2022-02-15,2749.429932
2022-02-16,2728.610107
2022-02-17,2723.0
2022-02-18,2660.75
2022-02-22,2599.699951
2022-02-23,2621.570068
2022-02-24,2500.0
2022-02-25,2670.51001
2022-02-28,2665.689941
2022-03-01,2689.600098
2022-03-02,2692.165039
2022-03-03,2719.570068
2022-03-04,2667.649902
2022-03-07,2638.080078
2022-03-08,2525.01001
2022-03-09,2628.0
2022-03-10,2629.25
2022-03-11,2679.98999
2022-03-14,2611.459961
2022-03-15,2554.830078
2022-03-16,2620.0
2022-03-17,2666.419922
2022-03-18,2677.679932
2022-03-21,2736.949951
2022-03-22,2730.0
2022-03-23,2782.77002
2022-03-24,2785.449951
2022-03-25,2835.080078
2022-03-28,2813.689941
2022-03-29,2863.209961
2022-03-30,2857.399902
2022-03-31,2848.969971
2022-04-01,2800.199951
2022-04-04,2816.48999
2022-04-05,2867.98999
2022-04-06,2783.22998
2022-04-07,2732.360107
2022-04-08,2725.0
2022-04-11,2658.0
2022-04-12,2648.469971
2022-04-13,2572.530029
2022-04-14,2612.98999
2022-04-18,2548.199951
2022-04-19,2561.540039
2022-04-20,2625.679932
2022-04-21,2587.0
2022-04-22,2500.0
2022-04-25,2388.590088
2022-04-26,2455.0
2022-04-27,2287.459961
2022-04-28,2342.300049
2022-04-29,2351.560059
2022-05-02,2278.129883
2022-05-03,2335.300049
2022-05-04,2360.070068
2022-05-05,2404.409912
2022-05-06,2310.379883
2022-05-09,2266.070068
2022-05-10,2320.810059
2022-05-11,2274.209961
2022-05-12,2238.76001
2022-05-13,2296.909912
2022-05-16,2307.679932
2022-05-17,2344.550049
2022-05-18,2304.75
2022-05-19,2236.820068
2022-05-20,2241.709961
2022-05-23,2202.080078
2022-05-24,2127.550049
2022-05-25,2102.840088
2022-05-26,2121.01001
2022-05-27,2195.77002
2022-05-31,2261.580078
2022-06-01,2298.629883
2022-06-02,2283.76001
2022-06-03,2319.850098
2022-06-06,2334.850098
2022-06-07,2312.959961
2022-06-08,2337.530029
2022-06-09,2326.830078
2022-06-10,2255.625
