date,fin,start,max,min,dekidaka
2022-05-06,1915.91,1902.44,1919.42,1890.37,1.54
2022-05-02,1898.35,1899.92,1910.98,1887.27,1.23
2022-04-28,1899.62,1865.17,1901.39,1862.42,1.43
2022-04-27,1860.76,1853.39,1861.45,1842.78,1.71
2022-04-26,1878.51,1881.49,1885.47,1872.30,1.08
2022-04-25,1876.52,1875.17,1882.47,1866.90,1.06
2022-04-22,1905.15,1908.22,1909.92,1892.85,1.02
2022-04-21,1928.00,1915.89,1929.89,1914.31,1.08
2022-04-20,1915.15,1911.72,1926.21,1905.90,1.19
2022-04-19,1895.70,1898.05,1899.39,1883.39,1.01
2022-04-18,1880.08,1880.76,1885.39,1863.59,877.13
2022-04-15,1896.31,1890.72,1902.74,1881.46,930.13
2022-04-14,1908.05,1894.84,1908.27,1892.51,1.06
2022-05-06,1915.91,1902.44,1919.42,1890.37,1.54
2022-05-02,1898.35,1899.92,1910.98,1887.27,1.23
2022-04-28,1899.62,1865.17,1901.39,1862.42,1.43
2022-04-27,1860.76,1853.39,1861.45,1842.78,1.71
2022-04-26,1878.51,1881.49,1885.47,1872.30,1.08
2022-04-25,1876.52,1875.17,1882.47,1866.90,1.06
2022-04-22,1905.15,1908.22,1909.92,1892.85,1.02
2022-04-21,1928.00,1915.89,1929.89,1914.31,1.08
2022-04-20,1915.15,1911.72,1926.21,1905.90,1.19
2022-04-19,1895.70,1898.05,1899.39,1883.39,1.01
2022-04-18,1880.08,1880.76,1885.39,1863.59,877.13
2022-04-15,1896.31,1890.72,1902.74,1881.46,930.13
2022-04-14,1908.05,1894.84,1908.27,1892.51,1.06
2022-04-13,1890.06,1869.15,1892.58,1867.36,1.20
2022-04-12,1863.63,1880.22,1883.11,1861.16,1.21
2022-04-11,1889.64,1892.70,1897.55,1881.82,1.19
2022-04-08,1896.79,1904.37,1906.76,1883.56,1.31